,Provider ID,Service Name,Base Name / Site,State,City,Zip,Location Type,# RW,# FW,NPIAS,Level 1
RW,AZ011,Sunrise Air Ambulance,Springerville Municipal Airport,AZ,Springerville,85938,Airpport,1,1,Y,
RW,IL005,Superior Air Med,Greater Kankakee Airport,IL,Kankakee,60901,Airport,1,,Y,
RW,IL005,Superior Air Med,DuPage County Airport,IL,West Chicago,60185,Airport,1,,Y,
RW,IL005,Superior Ambulance Air Med,Oakland County International Airport,MI,Waterford,48327,Airport,1,,Y,
RW,MI005,Survival Flight,University of Michigan Health System,MI,Ann Arbor,48109,Hospital,2,,,Y
RW,MI005,Survival Flight,Livingston County Airport,MI,Howell,48855,Airport,1,1,Y,
RW,AZ010,"Survival Flight, Inc. (AZ)",Headland Municipal Airport,AL,Headland,36345,Airport,1,,Y,
RW,AZ010,"Survival Flight, Inc. (AZ)",Batesville Regional Airport,AR,Batesville,72501,Airport,1#,1,Y,
RW,AZ010,"Survival Flight, Inc. (AZ)",White River Medical Center,AR,Batesville,72501,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",National Park Medical Center,AR,Hot Springs,71901,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Five Rivers Medical Center,AR,Pocahontas,72455,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Saint Mary's Regional Medical Center,AR,Russellville,72801,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Unity Health - White County Medical Center,AR,Searcy,72143,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Corporate Office,AZ,Mesa,85206,Office,,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Jersey Community Hospital,IL,Jerseyville,62052,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Mount Carmel Grove City,OH,Grove City,43123,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Mount Carmel St. Ann's,OH,Westerville,43081,Helipad,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Jackson County Memorial Hospital,OK,Altus,73521,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Comanche County Memorial Hospital,OK,Lawton,73505,Hospital,1,,,
RW,AZ010,"Survival Flight, Inc. (AZ)",Integris Baptist Medical Center,OK,Oklahoma City,73112,Hospital,1,,,
RW,TX023,Teddy Bear Transport# (Cook Children’s),Meacham International Airport,TX,Fort Worth,76106,Airport,1,2,Y,
RW,PA012,Temple MedFlight,Doylestown Hospital,PA,Doylestown,18901,Hospital,1,,,
RW,WI005,ThedaStar Air Medical,ThedaCare Regional Medical Center Helipad,WI,Neenah,54957,Hospital,1,,,
RW,TX027,Trans Aero MedEvac,Main Offce,CO,Loveland,80538,Office,,,,
RW,TX027,Trans Aero MedEvac,Artesia F.D. 1 (MedEvac 2),NM,Artesia,88210,Helipad,1,,,
RW,TX027,Trans Aero MedEvac,Carlsbad NM (MedEvac 1),NM,Carlsbad,88220,Helipad,1,,,
RW,FL022,Trauma Hawk Aeromedical Program,Palm Beach International Airport,FL,West Palm Beach,33406,Airport,2,,Y,
RW,FL016,TraumaOne Flight Services,Lake City Municipal Airport,FL,Lake City,32055,Airport,1,,Y,
RW,FL016,TraumaOne Flight Services,Flagler Hospital Heliport,FL,St Augustine,32086,Hospital,1,,,
RW,FL016,TraumaOne Flight Services,TraumaOne North at Nassau Airport,FL,Yulee,32097,Helipad,1,,,
FW,WI007,Travel Care International,Charleston Air Force Base/ International Airport,SC,Charleston,29404,Airport,,2,Y,
FW,WI007,Travel Care International,John H Batten Airport,WI,Racine,53404,Airport,,1,Y,
RW,OK003,Tulsa Life Flight,McAlester Helipad,OK,McAlester,74501,Helipad,1,,,
RW,OK003,Tulsa Life Flight,Mid-America Industrial Airport,OK,Pryor,74337,Airport,1,,Y,
RW,TN005,U.T.  LIFESTAR (Knoxville),LIFESTAR 4 - Jacksboro,TN,Jacksboro,37757,Airport,1,,N,
RW,TN005,U.T.  LIFESTAR (Knoxville),LIFESTAR 1 - Morristown,TN,Morristown,37814,Airport,1,,Y,
RW,TN005,U.T.  LIFESTAR (Knoxville),LIFESTAR 2 - Rockwood,TN,Rockwood,37854,Airport,1,,Y,
RW,TN005,U.T.  LIFESTAR (Knoxville),LIFESTAR 3 - Sevierville,TN,Sevierville,37862,Airport,1,,Y,
RW,TN005,U.T.  LIFESTAR (Knoxville),LIFESTAR 5 - Sweetwater,TN,Sweetwater,37874,Helipad,1,,,
RW,IL010,UCAN,University of Chicago Helipad,IL,Chicago,60637,Hospital,1,,,Y
RW,MA002,UMASS Memorial LifeFlight,UMass Memorial Helipad,MA,Worcester,1655,Hospital,1,,,Y
RW,NC007,UNC Carolina Air Care,Aberdeen Air,NC,Aberdeen,28315,Helipad,1,,,
RW,NC007,UNC Carolina Air Care,Wayne Executive Jetport,NC,Goldsboro,27863,Airport,1,,Y,
RW,NC007,UNC Carolina Air Care,Raleigh Durham Intl Airport,NC,Morrisville,27560,Airport,,1,N,
RW,NC007,UNC Carolina Air Care,Nash General Hospital,NC,Rocky Mount,27804,Hospital,1,,,
RW,NC007,UNC Carolina Air Care,Chatham Hospital,NC,Siler City,27344,Hospital,1,,,
RW,UT001,University of Utah AirMed,Davis Hospital,UT,Layton,84041,Hospital,1,,,
RW,UT001,University of Utah AirMed,Central Valley Medical Center,UT,Nephi,84648,Hospital,1,,,
RW,UT001,University of Utah AirMed,Park City Base,UT,Park City,84098,Helipad,1,,,
RW,UT001,University of Utah AirMed,Salt Lake International Airport,UT,Salt Lake City,84116,Airport,1#,1,Y,
RW,UT001,University of Utah AirMed,University of Utah Hospital,UT,Salt Lake City,84132,Hospital,1,,,Y
RW,UT001,University of Utah AirMed,Tooele Base,UT,Tooele,84074,Helipad,1,,,
RW,UT001,University of Utah AirMed,Memorial Hospital of Sweetwater County,WY,Rock Springs,82901,Hospital,1,,,
RW,UT001,University of Utah AirMed,Sweetwater County - Rock Springs Airport,WY,Rock Springs,82901,Airport,,1,Y,
RW,AK008,US Coast Guard Air Station Kodiak,Coast Guard  Kodiak Airport,AK,Kodiak,99615,Airport *,9,3,N,
RW,AK007,US Coast Guard Air Station Sitka,Coast Guard Sitka Airport,AK,Sitka,99835,Airport *,3,,N,
RW,DC002,USPP Eagle,Eagle's Nest,DC,Washington,20020,Helipad,3,,,
RW,WI006,UW Med Flight,University Hospital Helipad,WI,Madison,53792,Hospital,2,,,Y
RW,WI006,UW Med Flight,Iowa County Airport,WI,Mineral Point,53566,Airport,1,,y,
RW,ND004,"Valley Med Flight, Inc.",Delta County Airport,MI,Escanaba,49829,Airport,1,,Y,
RW,ND004,"Valley Med Flight, Inc.",Houghton,MI,Houghton,49913,Airport,,1,Y,
RW,ND004,"Valley Med Flight, Inc.",Ford Airport,MI,Iron Mountain,49802,Airport,,1,Y,
RW,ND004,"Valley Med Flight, Inc.",Grand Rapids,MN,Grand Rapids,55744,Airport,,1,Y,
RW,ND004,"Valley Med Flight, Inc.",Roseau Municipal Airport,MN,Roseau,56751,Airport,1,,Y,
RW,ND004,"Valley Med Flight, Inc.",Sidney-Richland Municipal Airport,MT,Sidney,59270,Airport,,1,Y,
RW,ND004,"Valley Med Flight, Inc.",Devils Lake Regional Airport,ND,Devils Lake,58301,Airport,1,,Y,
RW,ND004,"Valley Med Flight, Inc.",Theodore Roosevelt Regional Airport,ND,Dickinson,58601,Airport,1,,Y,
RW,ND004,"Valley Med Flight, Inc.",Grand Forks International Airport,ND,Grand Forks,58203,Airport,,1,Y,
RW,ND004,"Valley Med Flight, Inc.",Sloulin Field International Airport,ND,Williston,58801,Airport,1,,N,
RW,TN006,Vanderbilt Lifeflight,(LF 3) Outlaw Field Airport,TN,Clarksville,37042,Airport,1,,Y,
RW,TN006,Vanderbilt Lifeflight,(LF 7) Cookeville Helipad,TN,Cookeville,38506,Helipad,1,,,
RW,TN006,Vanderbilt Lifeflight,(LF 8) Humboldt Mun. Airport,TN,Humboldt,38343,Airport,1,,Y,
RW,TN006,Vanderbilt Lifeflight,(LF 1) Lebanon Municipal Airport,TN,Lebanon,37087,Airport,2*,,Y,
RW,TN006,Vanderbilt Lifeflight,(LF 4) Maury County Airport,TN,Mt. Pleasant,38474,Airport,1,,Y,
RW,TN006,Vanderbilt Lifeflight,(LF 5) Murfreesboro Airport,TN,Murfreesboro,37129,Airport,1,,Y,
RW,TN006,Vanderbilt Lifeflight,(LF 10) Nashville Intl Airport,TN,Nashville,37217,Airport,,1,Y,
RW,TN006,Vanderbilt Lifeflight,(LF 6) Henry County Airport,TN,Paris,38242,Airport,1,,N,
RW,TN006,Vanderbilt Lifeflight,(LF 2) Tullahoma Airport,TN,Tullahoma,37360,Airport,1,,Y,
RW,CA028,Ventura County Sheriff,Camarillo Airport,CA,Camarillo,93010,Airport,7,,Y,
RW,NC004,Vidant EastCare,Mount Olive Airport - Yeagar Field,NC,Mount Olive,28365,Airport,1,,Y,
RW,NC004,Vidant EastCare,Carolina East Medical Center,NC,New Bern,28562,Hospital,1,,,
RW,NC004,Vidant EastCare,Onslow Airport,NC,Richlands,28574,Airport,1,,Y,
RW,NC004,Vidant EastCare,Rocky Mount-Wilson Regional Airport,NC,Rocky Mountain,27822,Airport,1,,Y,
RW,NC004,Vidant EastCare,Washington-Warren Airport,NC,Washington,27889,Airport,2#,,Y,
RW,VA006,Virginia State Police EMS Medflight 1,Chesterfield County Airport,VA,Richmond,23237,Airport,2,,Y,
RW,VA008,Virginia State Police EMS Medflight 2,Virginia Highlands (Abington) Airport,VA,Abington,24212,Airport,2,,Y,
RW,FL025,Volusia County Sheriff,DeLand Airport,FL,DeLand,32724,Airport,3,,Y,
RW,MI006,West Michigan Air Care,Borgess Medical Center,MI,Kalamazoo,49048,Hospital,0*,,,
RW,MI006,West Michigan Air Care,Bronson Methodist Hospital Heliport,MI,Kalamazoo,49007,Hospital,1*,,,Y
RW,IA004,Wings Air Rescue,Bud Day Field,IA,Sioux City,51101,Airport,1,,Y,
RW,TN007,Wings Air Rescue,Jenkins Base,KY,Jenkins,41537,Helipad,1,,,
RW,TN007,Wings Air Rescue,Elizabethton Airport,TN,Elizabethton,37643,Airport,1,,Y,
RW,TN007,Wings Air Rescue,Laughlin Memorial Hospital,TN,Greeneville,37745,Hospital,1,,,
RW,TN007,Wings Air Rescue,"Marion, VA Wings helipad",VA,Marion,24354,Hospital,1,,,
RW,WY001,Wyoming Life Flight,Casper/Natrona County International Airport,WY,Casper,82604,Airport,1,1,Y,
RW,TX011,,Rick Husband Amarillo International Airport,TX,Amarillo,79108,Airport,,1,N,
